,Unnamed: 0,2) Why did the fire go out after spraying water on the lit iron?,Unnamed: 0,", ""20. If the kidney (kidney) has abnormal function, various diseases may occur, and in serious cases, death may occur. What does the kidney do in our body, so if something goes wrong, will the disease appear? Let's use our knowledge of kidney function to explain it in detail. "",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
665,665,It's cold,665.0,"656,I don't know,0,0,0,0,0657, I don't know.,0,0,0,0,0,,,,,"
666,666,"The fire is weak against water, so the fire was extinguished by spraying water on the fire.",666.0,"658, I'll... 0, 0, 0, 0, 0, 0,"
667,667,This is because the heat of the iron disappeared by spraying water.,667.0,"659, I'm dying, 0, 0, 0, 0, 0"
668,668,"Fire and oxygen don't meet, so it goes out",668.0,"660, ,ㄹ, 0, 0, 0, 0,"
669,669,"If you spray water, the temperature of the fire will drop",669.0,"661,I don't know,0,0,0,0,0,,,"
670,670,It blocks oxygen by spraying water,670.0,"662,I don't know,0,0,0,0,0,,,"
671,671,This is because the temperature disappears completely as the water reduces the temperature.,671.0,"663 ""When you have a bad kidney, your eyes, nose, and ears are bad"", 0,0,0,0,0,,,"
672,672,The fire was extinguished as the temperature dropped below the ignition point as the water cooled the hot state to some extent while it was hot enough to catch fire.,672.0,"664, discharging body wastes, 0, 0, 0, 1,,,,,,,,"
673,673,Because the fire turns off the water,673.0,"665,The main role of the kidney is to purify the blood and remove toxins from the body. If there is a kidney problem, diabetes appears, 0, 0, 0, 1, 0"
674,674,It is because water lowers the temperature of the fire and blocks oxygen.,674.0,"666, ""The kidney is one of the excretory organs that filters out unnecessary debris in the blood and also receives excess water to make urine. There are 10 reasons for abnormalities in this kidney. First, blood pressure increases. Second, the eyes, hands, and feet get swollen.Third, I urinate red or murky.Fourth, there is a lot of foam in the urine. Fifth, wake up from sleep and urinate often.Sixth, it is uncomfortable, such as a decrease in the amount of urine or a feeling of burning when urinating.Seventh, I get tired easily, have no appetite, and feel nauseous. Eighth lost weight for no reason. The ninth is itchy all over. The stomach, back, and sides just below the tenth rib hurt."" ,1,0,1,0,,,,,"
675,675,Seongsu is the best,675.0,"667 ""When the kidneys are not good, the main parts of the body, such as eyes, hands, and legs, are easily"
676,676,It's because I sprayed water,676.0,"I'm pouring,""0,0,0,0,0"
677,677,"The temperature's going down, the oxygen's going down",677.0,"668, making a pee, 1,0,0,0,0,,,,,"
678,678,It's the temperature at the ignition point,678.0,"669, M,, 0, 0, 0, 0, 0"
679,679,The temperature went down,679.0,"670, I don't know, 0, 0, 0, 0, 0"
680,680,Because the water turns off the fire,680.0,"671, the excretion function of filtering out products and waste into urine, 0,0,0,0,,,,"
681,681,The water is the leader,681.0,"672, Strain foreign substances and release them into excrement, 0, 0, 0, 1,,,,"
682,682,The temperature is rapidly cooling down and oxygen is blocked,682.0,"673, I don't know, 0, 0, 0, 0, 0"
683,683,The temperature went down,683.0,"674,I don't know,0,0,0,0,0"
684,684,Spray water,684.0,"675, I don't know, 0, 0, 0, 0, 0"
685,685,The temperature went down,685.0,"676, I don't know, 0, 0, 0, 0, 0,"
686,686,Because it shut off oxygen and the temperature dropped,686.0,"677, I don't know, 0, 0, 0, 0, 0,"
687,687,The temperature went down,687.0,"678, I don't know, 0, 0, 0, 0, 0,"
688,688,The water is cold,688.0,"679,The kidneys separate the proteins and bacteria in our body. ,0,0,0,1,0,,,,,"
689,689,Because water can extinguish the fire,689.0,"680, kidneys release no pea water from our bodies.,0,0,0,1,0,,,,,"
690,690,Fire is originally to be extinguished with water.,690.0,"681, important thing, 0, 0, 0, 0,"
691,691,This is because water blocks contact between fire and oxygen.,691.0,"682, important thing, 0, 0, 0, 0,"
692,692,"If you spray water, the temperature goes down. Below the ignition point",692.0,"683, the beans are tasteless, red beans, tasteless"
693,693,The temperature went up and down,693.0,"684, the kidney is a place where you make urine, and when the 이상해-place gets weird, the residue accumulates on your body, 1,0,1,0"
694,694,This is because water was sprayed on the iron plate that exceeded a certain temperature to make it lower than a certain temperature.,694.0,"685, beans are not tasty, 0, 0, 0, 0, 0686, the kidneys release urine.,0,0,0,1,0,,,,,"
695,695,Water lowered the temperature of the fire,695.0,"687, emit bad things, 0, 0, 0, 0,"
696,696,This is because water has the property of extinguishing the fire.,696.0,"688, Urine builds up in the body, 0, 0, 0, 1, 0"
697,697,It goes below the ignition point,697.0,"689, kidney is the place where you collect urine, 0, 0, 0, 1,"
698,698,The fire was extinguished by lowering the ignition point temperature with water,698.0,"690, die because you can't pee, 0, 0, 0, 1, 0"
699,699,I don't know.,699.0,"691, I think that if the role is not properly played in making a pee, it could be a case of death. 1,0,0,0,0,0"
700,700,This is because water lowers the temperature of the fire.,700.0,"692, Beans are good for health and red beans are delicious, so they become healthy"
701,701,Because the water is cold.,701.0,"693, the kidneys help release the urine in our bodies, 0, 0, 0, 1, 0"
702,702,It is heated because the temperature goes down,702.0,"694, I filtered out my pee, 0, 0, 0, 1, 0"
703,703,"Among the three burning combustions, the topic is over because the temperature is lowered or the air is blocked by water, so there is no air, so you cannot burn it. ♡~♡",703.0,"695, neither beans nor red beans taste good, 0, 0, 0, 0, 0"
704,704,"The reason for the water sticking to the iron plate was because of the iron part of the iron plate, but the fire was extinguished because the iron was smeared and water was sprayed.",704.0,"696, the kidneys filter out the nope water in my blood, 0, 0, 0, 1, 0"
705,705,Because the temperature above the ignition point of the three principles disappeared due to water when it caught fire,705.0,"697, if there is a kidney problem, urine does not come out well, 0, 0, 0, 1, 0"
706,706,"If a material with low reactivity is used, the fire can be extinguished by blocking any of the combustion conditions (de-material, temperature above ignition point, oxygen)",706.0,"698, in charge of important work, 0, 0, 0, 0, 0"
707,707,This is because it prevents oxygen from flowing in the moment.,707.0,"699, Strain blood waste from the kidneys.If there is an abnormality in the kidney, the disease occurs because the blood waste cannot be filtered"
708,708,"To prevent further rise to a temperature above the ignition point, water is sprayed to lower the temperature below the ignition point.""",708.0,"700, Kidney is the place that gives away our food waste. Constipation causes diseases like stomachache, 0, 0,0,0,1,0,,,,,"
709,709,Water was sprayed to prevent the fire from catching fire.,709.0,"701, because it takes away old cards, 0, 0, 1, 0"
710,710,This is because the temperature of the cloth dropped below the ignition point by spraying water.,710.0,"702,""If you hold back your urine, you will continue to store it in your kidneys, which is very dirty because it has body residue. However, if there is an abnormality, it will burst, cannot discharge urine, or even if the urine is not full, a disease like that occurs."",0,0,0,1,0,,,,,"
711,711,This is because the fire goes out when it comes into contact with water.,711.0,"703, Since kidneys function importantly in our body, diseases appear when abnormalities occur.,0,0,0,0,0,,,,,"
712,712,Because of the steam,712.0,"704, Since kidneys function importantly in our body, diseases appear when abnormalities occur.,0,0,0,0,0,,,,,"
713,713,"If you spray water on the iron plate, the temperature below the ignition point and the desiccant disappears, so the light on the iron plate is turned off",713.0,"705, Kidney can cause diseases because substances from the human body are not able to come out, 0, 0, 0, 0, 0, 0"
714,714,This is because the temperature of the Daramispan dropped below the ignition point by spraying water.,714.0,"706, where our bodies digest, 0, 0, 0, 0, 0"
715,715,I sprayed water and dropped below the ignition point,715.0,"707, the same breath as the kidney man, 0, 0, 0, 0, 0"
716,716,"The temperature of the iron plate was hot, and the water was cold, so the water cooled the iron plate.",716.0,"708, filtering waste, 0, 0, 0, 1, 0"
717,717,"It's because if you spray water on a cloth iron plate, it goes out when it touches the fire",717.0,"709, because of the toxin filtration work, 0, 0, 0, 1,,,,,,"
718,718,"If any of the conditions of the fire are gone, the fire will be extinguished, so lower the temperature by adding cold water and extinguishing the fire",718.0,"710, filter various noffes water, 0, 0, 0, 1,,,,"
719,719,The fire went out because the cold temperature of the water cools the hot temperature of the cloth.,719.0,"711, make a pee, 1,0,0,0"
720,720,The fire goes out at a temperature below the ignition point where the fire started.,720.0,"712, filter out the waste.,0,0,0,1,0,,,,,"
721,721,"""Water does not oxidize because there is no ignition point",721.0,"713,PASS,0,0,0,0,0,,,,,"
722,722,"That's why the lights went out.""",722.0,"714, remove toxins, 0, 0, 0, 1, 0,,,"
723,723,"As mentioned above, in the conditions of catching fire, if there is de-material, temperature above the firing point, and oxygen, it catches fire, but when water is sprayed, the temperature is lower than the temperature above the firing point, so the fire is extinguished.",723.0,"715, I don't know, 0, 0, 0, 0, 0716, the kidneys remove the noppe water from our body and drain it out.,0,0,0,1,0,,,,,"
724,724,"If you spray water on the iron on fire, it turns off because water lowers the temperature",724.0,"717, while relieving toxins in the body, it is divided into nutrients that the body needs and unnecessary nutrients before releasing urine"
725,725,It's not above the ignition point,725.0,"718, the kidneys play a role in removing toxins from our bodies.,0,0,0,1,0,,,,,"
726,726,"The fire is watery but weak, so it goes out when you spray water",726.0,"719 ""As an excretion organ, it reabsorbs what the body needs and filters what it doesn't need."",0,0,0,0,1,,,,"
727,727,I'm trying to get the de-materials down and the ignition point,727.0,"720, the kidneys play a role in trapping the body's waste.,0,0,0,1,0,,,,,"
728,728,"The reason why it was extinguished by spraying water during the fire is that three elements are needed to burn, and the ignition point (temperature to burn), dehydration, and oxygen are essential, but if there is no element, the fire will be extinguished, so the ignition point is lowered by spraying water.",728.0,"721, because it is involved in excretion, waste cannot be properly discharged, which can cause various diseases.,0,0,0,1,0,,,,,"
729,729,"When it caught fire, water was poured in and the temperature below the ignition point became extinguished.",729.0,"722, functions to purify blood. Blood cannot be cleaned if there is an abnormality in the kidney.,0,0,0,1,0,,,,,"
730,730,"Water lowered the temperature above the ignition point from the iron plate, so the heat on the iron plate went out",730.0,"723, because the kidneys filter bad substances in our bodies.,0,0,0,0,1,,,,,"
731,731,"Water absorbs heat to the main surface, so the heat decreases, and the temperature around the fire decreases, so the temperature drops below the ignition point of the de-material and the fire goes out",731.0,"724,1234,0,0,0,0,0,,,,,"
732,732,The water makes the fire go out,732.0,"725, I don't know, 0, 0, 0, 0,"
733,733,Fire and water met and the fire went out,733.0,"726,123,0,0,0,0,0,,,,,"
734,734,Fire and water met and the fire went out,734.0,"727,123,0,0,0,0,0,,,,,"
735,735,I don't know,735.0,"728, make us live, 0, 0, 0, 0, 0"
